cohort,mob,n,累计坏账率
2017Q1,12,72410,0.038268195000690515
2017Q1,13,72410,0.044040878331722134
2017Q1,14,72410,0.049592597707498964
2017Q1,15,72410,0.05536528103853059
2017Q1,16,72410,0.06075127744786632
2017Q1,17,72410,0.06631680707084657
2017Q1,18,72410,0.07166137273857202
2017Q1,19,72410,0.07761358928324817
2017Q1,20,72410,0.0829443447037702
2017Q1,21,72410,0.087487916033697
2017Q1,22,72410,0.09183814390277587
2017Q1,23,72410,0.09585692583897251
2017Q1,24,72410,0.10045573815771303
2017Q1,25,72410,
2017Q1,26,72410,
2017Q1,27,72410,
2017Q1,28,72410,
2017Q1,29,72410,
2017Q1,30,72410,
2017Q2,1,77105,0.0
2017Q2,2,77105,0.0
2017Q2,3,77105,0.001232086116334868
2017Q2,4,77105,0.002905129369042215
2017Q2,5,77105,0.005991829323649569
2017Q2,6,77105,0.010116075481486285
2017Q2,7,77105,0.015407561117956034
2017Q2,8,77105,0.020750924064587253
2017Q2,9,77105,0.026327734906945077
2017Q2,10,77105,0.032060177679787305
2017Q2,11,77105,0.03680695155956164
2017Q2,12,77105,0.04174826535244148
2017Q2,13,77105,0.047299137539718566
2017Q2,14,77105,0.053550353414175474
2017Q2,15,77105,0.05951624408274431
2017Q2,16,77105,0.06575449062966085
2017Q2,17,77105,0.07234290902016731
2017Q2,18,77105,0.07828286103365541
2017Q2,19,77105,0.0839115491861747
2017Q2,20,77105,0.08898255625445821
2017Q2,21,77105,0.09383308475455547
2017Q2,22,77105,
2017Q2,23,77105,
2017Q2,24,77105,
2017Q2,25,77105,
2017Q2,26,77105,
2017Q2,27,77105,
2017Q2,28,77105,
2017Q2,29,77105,
2017Q2,30,77105,
2017Q3,1,88227,0.0
2017Q3,2,88227,0.0
2017Q3,3,88227,0.0015868158273544379
2017Q3,4,88227,0.0034343228263456764
2017Q3,5,88227,0.00635859770818457
2017Q3,6,88227,0.00969091094562889
2017Q3,7,88227,0.013646616115248167
2017Q3,8,88227,0.01827105081210967
2017Q3,9,88227,0.023246851870742515
2017Q3,10,88227,0.028370000113343986
2017Q3,11,88227,0.03427522187085586
2017Q3,12,88227,0.04044113480000453
2017Q3,13,88227,0.0461423373797137
2017Q3,14,88227,0.05301098303240505
2017Q3,15,88227,0.05974361589989459
2017Q3,16,88227,0.06610221360807916
2017Q3,17,88227,0.0718600881816224
2017Q3,18,88227,0.07739127477982931
2017Q3,19,88227,
2017Q3,20,88227,
2017Q3,21,88227,
2017Q3,22,88227,
2017Q3,23,88227,
2017Q3,24,88227,
2017Q3,25,88227,
2017Q3,26,88227,
2017Q3,27,88227,
2017Q3,28,88227,
2017Q3,29,88227,
2017Q3,30,88227,
2017Q4,1,82677,0.0
2017Q4,2,82677,0.0
2017Q4,3,82677,0.0014998125234345708
2017Q4,4,82677,0.0033503876531562585
2017Q4,5,82677,0.005914583257737944
2017Q4,6,82677,0.009446399845180642
2017Q4,7,82677,0.013123359580052493
2017Q4,8,82677,0.01778003556007112
2017Q4,9,82677,0.02231575891723212
2017Q4,10,82677,0.02712967330696566
2017Q4,11,82677,0.032451588712701235
2017Q4,12,82677,0.0381968382984385
2017Q4,13,82677,0.04428075522817712
2017Q4,14,82677,0.05002600481391439
2017Q4,15,82677,0.05545677758022183
2017Q4,16,82677,
2017Q4,17,82677,
2017Q4,18,82677,
2017Q4,19,82677,
2017Q4,20,82677,
2017Q4,21,82677,
2017Q4,22,82677,
2017Q4,23,82677,
2017Q4,24,82677,
2017Q4,25,82677,
2017Q4,26,82677,
2017Q4,27,82677,
2017Q4,28,82677,
2017Q4,29,82677,
2017Q4,30,82677,
2018Q1,1,75412,0.0
2018Q1,2,75412,0.0
2018Q1,3,75412,0.0012199649923089163
2018Q1,4,75412,0.002837744656022914
2018Q1,5,75412,0.005304195618734419
2018Q1,6,75412,0.008367368588553546
2018Q1,7,75412,0.012133347477854984
2018Q1,8,75412,0.016854081578528617
2018Q1,9,75412,0.021747202036811117
2018Q1,10,75412,0.026825969341749325
2018Q1,11,75412,0.031559963931469794
2018Q1,12,75412,0.036758075637829526
2018Q1,13,75412,
2018Q1,14,75412,
2018Q1,15,75412,
2018Q1,16,75412,
2018Q1,17,75412,
2018Q1,18,75412,
2018Q1,19,75412,
2018Q1,20,75412,
2018Q1,21,75412,
2018Q1,22,75412,
2018Q1,23,75412,
2018Q1,24,75412,
2018Q1,25,75412,
2018Q1,26,75412,
2018Q1,27,75412,
2018Q1,28,75412,
2018Q1,29,75412,
2018Q1,30,75412,
2018Q2,1,91506,0.0
2018Q2,2,91506,0.0
2018Q2,3,91506,0.0013769588879417743
2018Q2,4,91506,0.0027867025113107336
2018Q2,5,91506,0.005638974493475838
2018Q2,6,91506,0.009278080125893384
2018Q2,7,91506,0.01415207745940157
2018Q2,8,91506,0.01905885952833694
2018Q2,9,91506,0.02414049351955063
2018Q2,10,91506,
2018Q2,11,91506,
2018Q2,12,91506,
2018Q2,13,91506,
2018Q2,14,91506,
2018Q2,15,91506,
2018Q2,16,91506,
2018Q2,17,91506,
2018Q2,18,91506,
